Timestamp,Transcription,Sentiment,start_time,end_time,speaker_id,word_count
0s - 5s," Okay, so the drive you're going to complete and use the E-cautomation and the object detection",Positive,0.0,5.0,speaker_0,16
13.36s - 18.36s," system so that it will not be to operate the vehicle, so keep your hands off this steering  wheel and meet off the pedals and punch me with your head drive.",Neutral,13.36,18.36,speaker_2,31
19.8s - 24.8s," Okay, so when you see that some driver indicator highlight green, make sure you don't get  to break at any point during the drive.",Positive,19.8,24.8,speaker_2,24
26.56s - 31.56s, This dot the car cab look out will have the ODS for getting visual feedback for targets  that are in the environment.,Neutral,26.56,31.56,speaker_2,22
31.66s - 36.66s," This is the car cab look out should pay attention to that screen, take them and wind  out to turn the condition.  Remember to tap the targets on that ODS as well as completing those workstation tasks.",Positive,31.66,36.66,speaker_2,37
44.16s - 49.16s," Alright, so all drivers, click your foot on the brake.  Do not remove your foot from the brake until I instruct you to remove it.",Positive,44.16,49.16,speaker_1,25
53.48s - 58.48s, You can start the car.,Neutral,53.48,58.48,speaker_2,5
63.48s - 68.47999999999999s," You drove through me.  Okay, so the car cab driver.",Positive,63.48,68.47999999999999,speaker_2,10
73.96s - 78.96s, And either go back.  Our cab driver and only the car cab driver.,Neutral,73.96,78.96,speaker_2,13
80.96s - 85.96s, Yes.  Right.  Make sure everyone isn't drive.,Positive,80.96,85.96,speaker_2,7
85.96s - 90.96s, I am now in drive.  beak.  Car cab driver and only the car cab driver.  Maybe you can move forward.,Neutral,85.96,90.96,speaker_2,20
92.96s - 97.96s, As I drove through.,Neutral,92.96,97.96,speaker_1,4
98.96s - 103.96s, We now have some driver on.  First on the scooter.,Neutral,98.96,103.96,speaker_2,10
106.96s - 111.96s, What color skater?  Scuder.,Neutral,106.96,111.96,speaker_2,4
113.96s - 118.96s," Yeah, has a cross button bag.",Positive,113.96,118.96,speaker_1,6
119.96s - 124.96s, I see scooters on both sides of the road.,Neutral,119.96,124.96,speaker_1,9
126.96s - 131.95999999999998s, Not motorcycles.,Neutral,126.96,131.95999999999998,speaker_5,2
133.96s - 138.96s," Oh, yeah, that's on the other side of the road.",Positive,133.96,138.96,speaker_2,10
138.96s - 143.96s, Passing now.,Neutral,138.96,143.96,speaker_2,2
145.96s - 150.96s, Do you have any target?,Neutral,145.96,150.96,speaker_0,5
152.96s - 157.96s," No, yeah.  I hit no good, I didn't fight, but.  Yes, Paul.",Negative,152.96,157.96,speaker_2,12
159.96s - 164.96s, There was motorcycle us.  We're giving me a car.,Positive,159.96,164.96,speaker_2,9
167.96s - 172.96s," Passed.  Oh, I see it.  It's at 10 o'clock.  Okay.  I think we used.",Positive,167.96,172.96,speaker_2,14
173.96s - 178.96s, Passing now.,Neutral,173.96,178.96,speaker_2,2
179.96s - 184.96s," Yeah, we're also passing now.  Car one.",Positive,179.96,184.96,speaker_6,7
188.96s - 193.96s, Why is a car three so far behind car two?,Neutral,188.96,193.96,speaker_5,10
193.96s - 198.96s, Yes.,Positive,193.96,198.96,speaker_2,1
208.96s - 213.96s, Is the ODS working?,Neutral,208.96,213.96,speaker_4,4
214.96s - 219.96s, Yes.  Sometimes they have a green button there.,Positive,214.96,219.96,speaker_2,8
219.96s - 224.96s," No, you won't see anything, but that I should see something in the passenger seat.",Negative,219.96,224.96,speaker_11,15
225.96s - 230.96s, It should be a wide car right now.  A wide car.,Neutral,225.96,230.96,speaker_2,11
232.96s - 237.96s, SUV like a king.,Positive,232.96,237.96,speaker_2,4
237.96s - 242.96s," Yes, you.  Is it a camel?",Positive,237.96,242.96,speaker_1,6
248.96s - 253.96s," Yes, it's a car.",Positive,248.96,253.96,speaker_5,4
254.96s - 259.96000000000004s, I think it's a car.  There's a driving white car on the left.,Neutral,254.96,259.96000000000004,speaker_2,13
263.96s - 268.96s, Passing now.  I think that was it.  We have another white SUV.,Neutral,263.96,268.96,speaker_7,12
271.96s - 276.96s, Passing out on the left now.,Neutral,271.96,276.96,speaker_1,6
277.96s - 282.96s, Passing military checkpoint.,Neutral,277.96,282.96,speaker_4,3
289.96s - 294.96s, I think it's a truck.,Neutral,289.96,294.96,speaker_5,5
295.96s - 300.96s, I'm wearing a Scott bike model.  I think it's a car.,Neutral,295.96,300.96,speaker_1,11
305.96s - 310.96s, I think it's a car.,Neutral,305.96,310.96,,5
311.96s - 316.96s, I think it's a car.,Neutral,311.96,316.96,,5
317.96s - 322.96s, I think it's a car.  I think it's a car.,Neutral,317.96,322.96,,10
323.96s - 328.96s, I think it's a car.,Neutral,323.96,328.96,,5
